student_id,Human_Clarity,Human_Terminology,Human_Coverage,Human_Accuracy,Human_Final,Human_Off_Topic,LLM_Clarity,LLM_Terminology,LLM_Coverage,LLM_Accuracy,LLM_Final,LLM_Off_Topic,Diff,Within_1,Within_05,processing_time,raw_response
Q1 Student1,1,0,1,2,2.0,False,1,1,2,3,3.5,False,1.5,False,False,1.6125640869140625,"{
  ""Off_Topic"": false,
  ""Clarity_Score"": 1,
  ""Terminology_Score"": 1,
  ""Coverage_Score"": 2,
  ""Accuracy_Score"": 3
}"
Q1 Student2,1,0,1,3,2.5,False,1,1,2,3,3.5,False,1.0,True,False,1.6331138610839844,"{
  ""Off_Topic"": false,
  ""Clarity_Score"": 1,
  ""Terminology_Score"": 1,
  ""Coverage_Score"": 2,
  ""Accuracy_Score"": 3
}"
Q1 Student3,2,2,1,3,4.0,False,2,1,2,3,4.0,False,0.0,True,True,1.710949182510376,"{
  ""Off_Topic"": false,
  ""Clarity_Score"": 2,
  ""Terminology_Score"": 1,
  ""Coverage_Score"": 2,
  ""Accuracy_Score"": 3
}"
Q1 Student4,2,2,2,4,5.0,False,2,2,2,4,5.0,False,0.0,True,True,1.6627912521362305,"```json
{
  ""Off_Topic"": false,
  ""Clarity_Score"": 2,
  ""Terminology_Score"": 2,
  ""Coverage_Score"": 2,
  ""Accuracy_Score"": 4
}
```"
Q1 Student5,1,0,1,1,1.5,False,1,1,2,3,3.5,False,2.0,False,False,1.6026151180267334,"{
  ""Off_Topic"": false,
  ""Clarity_Score"": 1,
  ""Terminology_Score"": 1,
  ""Coverage_Score"": 2,
  ""Accuracy_Score"": 3
}"
Q1 Student6,1,1,1,2,2.5,False,2,1,2,4,4.5,False,2.0,False,False,1.5762276649475098,"{
  ""Off_Topic"": false,
  ""Clarity_Score"": 2,
  ""Terminology_Score"": 1,
  ""Coverage_Score"": 2,
  ""Accuracy_Score"": 4
}"
Q1 Student7,2,2,2,4,5.0,False,1,1,2,4,4.0,False,1.0,True,False,1.700666904449463,"```json
{
  ""Off_Topic"": false,
  ""Clarity_Score"": 1,
  ""Terminology_Score"": 1,
  ""Coverage_Score"": 2,
  ""Accuracy_Score"": 4
}
```"
Q1 Student8,1,1,0,1,1.5,False,2,2,2,4,5.0,False,3.5,False,False,1.611290693283081,"{
  ""Off_Topic"": false,
  ""Clarity_Score"": 2,
  ""Terminology_Score"": 2,
  ""Coverage_Score"": 2,
  ""Accuracy_Score"": 4
}"
Q1 Student9,0,0,0,1,0.5,False,0,0,0,0,0.0,True,0.5,True,True,1.710371494293213,"```json
{
  ""Off_Topic"": true,
  ""Clarity_Score"": 0,
  ""Terminology_Score"": 0,
  ""Coverage_Score"": 0,
  ""Accuracy_Score"": 0
}
```"
Q1 Student10,1,1,0,2,2.0,False,1,1,2,3,3.5,False,1.5,False,False,1.7455408573150637,"{
  ""Off_Topic"": false,
  ""Clarity_Score"": 1,
  ""Terminology_Score"": 1,
  ""Coverage_Score"": 2,
  ""Accuracy_Score"": 3
}"
